iter	Passed	Remaining
610	2413	1536
611	2415	1531
612	2417	1526
613	2418	1520
614	2423	1516
615	2428	1513
616	2430	1508
617	2433	1504
618	2443	1503
619	2446	1499
620	2448	1494
621	2452	1490
622	2458	1487
623	2460	1482
624	2463	1478
625	2474	1478
626	2476	1473
627	2480	1469
628	2491	1469
629	2494	1464
630	2502	1463
631	2505	1458
632	2508	1454
633	2517	1453
634	2522	1449
635	2533	1449
636	2538	1446
637	2542	1442
638	2553	1442
639	2556	1438
640	2565	1436
641	2568	1432
642	2571	1427
643	2580	1426
644	2584	1422
645	2586	1417
646	2589	1412
647	2598	1411
648	2600	1406
649	2602	1401
650	2605	1396
651	2609	1392
652	2611	1387
653	2614	1383
654	2619	1379
655	2623	1375
656	2625	1370
657	2628	1366
658	2637	1364
659	2640	1360
660	2642	1355
661	2645	1350
662	2650	1347
663	2654	1343
664	2656	1338
665	2663	1335
666	2666	1331
667	2669	1326
668	2672	1322
669	2678	1319
670	2681	1314
671	2683	1309
672	2686	1305
673	2692	1302
674	2696	1298
675	2698	1293
676	2701	1288
677	2710	1287
678	2714	1283
679	2717	1278
680	2723	1275
681	2726	1271
682	2728	1266
683	2733	1262
684	2742	1261
685	2744	1256
686	2747	1251
687	2756	1250
688	2761	1246
689	2773	1246
690	2778	1242
691	2781	1237
692	2792	1237
693	2795	1232
694	2803	1230
695	2809	1226
696	2811	1222
697	2819	1219
698	2824	1216
699	2826	1211
700	2828	1206
701	2838	1205
702	2841	1200
703	2843	1195
704	2844	1190
705	2855	1188
706	2857	1184
707	2859	1179
708	2867	1176
709	2870	1172
710	2872	1167
711	2874	1162
712	2876	1157
713	2882	1154
714	2883	1149
715	2885	1144
716	2886	1139
717	2889	1134
718	2891	1130
719	2896	1126
720	2898	1121
721	2901	1117
722	2903	1112
723	2905	1107
724	2908	1103
725	2912	1099
726	2914	1094
727	2917	1089
728	2919	1085
729	2924	1081
730	2931	1078
731	2934	1074
732	2936	1069
733	2942	1066
734	2948	1063
735	2951	1058
736	2953	1054
737	2962	1051
738	2965	1047
739	2967	1042
740	2972	1038
741	2976	1035
742	2979	1030
743	2981	1025
744	2985	1021
745	2991	1018
746	2997	1015
747	2999	1010
748	3005	1007
749	3008	1002
750	3011	998
751	3014	994
752	3024	992
753	3027	987
754	3030	983
755	3041	981
756	3044	977
757	3047	972
758	3058	970
759	3060	966
760	3062	961
761	3072	959
762	3075	955
763	3077	950
764	3085	947
765	3090	943
766	3092	939
767	3098	936
768	3103	932
769	3107	928
770	3109	923
771	3114	919
772	3116	915
773	3118	910
774	3120	906
775	3122	901
776	3124	896
777	3130	893
778	3133	888
779	3135	884
780	3137	879
781	3139	875
782	3144	871
783	3147	867
784	3150	862
785	3152	858
786	3155	854
787	3161	850
788	3164	846
789	3168	842
790	3175	838
791	3182	835
792	3184	831
793	3186	826
794	3192	823
795	3195	819
796	3197	814
797	3199	809
798	3201	805
799	3213	803
800	3217	799
801	3228	796
802	3230	792
803	3234	788
804	3243	785
805	3247	781
806	3251	777
807	3265	776
808	3271	772
809	3274	768
810	3279	764
811	3283	760
812	3291	757
813	3309	756
814	3312	751
815	3316	747
816	3324	744
817	3327	740
818	3330	735
819	3337	732
820	3341	728
821	3345	724
822	3355	721
823	3358	717
824	3361	713
825	3366	709
826	3370	704
827	3374	701
828	3382	697
829	3384	693
830	3385	688
831	3387	684
832	3389	679
833	3391	674
834	3396	671
835	3398	666
836	3399	662
837	3401	657
838	3403	653
839	3405	648
840	3406	644
841	3411	640
842	3413	635
843	3415	631
844	3417	626
845	3418	622
846	3420	617
847	3423	613
848	3426	609
849	3429	605
850	3431	600
851	3433	596
852	3434	591
853	3436	587
854	3439	583
855	3442	579
856	3444	574
857	3446	570
858	3448	566
859	3451	561
860	3455	557
861	3458	553
862	3470	550
863	3473	546
864	3482	543
865	3486	539
866	3492	535
867	3496	531
868	3504	528
869	3511	524
870	3517	520
871	3520	516
872	3532	513
873	3535	509
874	3543	506
875	3546	502
876	3549	497
877	3556	494
878	3561	490
879	3564	486
880	3570	482
881	3588	480
882	3590	475
883	3592	471
884	3598	467
885	3602	463
886	3605	459
887	3607	455
888	3609	450
889	3614	446
890	3617	442
891	3619	438
892	3621	433
893	3623	429
894	3625	425
895	3628	421
896	3630	416
897	3632	412
898	3634	408
899	3635	403
900	3637	399
901	3638	395
902	3640	391
903	3644	386
904	3645	382
905	3647	378
906	3648	374
907	3650	369
908	3652	365
909	3653	361
910	3655	357
911	3658	352
912	3659	348
913	3661	344
914	3663	340
915	3664	336
916	3666	331
917	3668	327
918	3669	323
919	3672	319
920	3674	315
921	3675	310
922	3677	306
923	3679	302
924	3680	298
925	3682	294
926	3684	290
927	3687	286
928	3689	281
929	3690	277
930	3692	273
931	3694	269
932	3696	265
933	3698	261
934	3702	257
935	3706	253
936	3708	249
937	3712	245
938	3715	241
939	3719	237
940	3721	233
941	3723	229
942	3725	225
943	3727	221
944	3731	217
945	3734	213
946	3736	209
947	3738	205
948	3740	201
949	3743	197
950	3748	193
951	3751	189
952	3753	185
953	3756	181
954	3758	177
955	3761	173
956	3764	169
957	3766	165
958	3768	161
959	3770	157
960	3773	153
961	3779	149
962	3782	145
963	3786	141
964	3794	137
965	3797	133
966	3800	129
967	3802	125
968	3810	121
969	3814	117
970	3816	113
971	3819	110
972	3827	106
973	3830	102
974	3833	98
975	3835	94
976	3842	90
977	3845	86
978	3848	82
979	3850	78
980	3855	74
981	3857	70
982	3860	66
983	3862	62
984	3863	58
985	3865	54
986	3871	50
987	3873	47
988	3876	43
989	3878	39
990	3880	35
991	3884	31
992	3886	27
993	3888	23
994	3890	19
995	3893	15
996	3894	11
997	3898	7
998	3901	3
999	3903	0
